"ruta","vattendist","namn","strandtyp","kusttyp","urvalsklass","provyta","pyid","exponering","transektlen","transektriktning","easting","northing","longitud","latitud"
4011,5,"Kungshamn n skärgård","klippa/häll","öar","01_klippstränder",1,20174011001,"3-Extremt skyddat",17.8,239,280373.8793,6477135.5186,11.2433372035106,58.379847115858
4011,5,"Kungshamn n skärgård","klippa/häll","öar","08_havsklippa",2,20174011002,"3-Extremt skyddat",2.4,143,280623.6333,6476934.2392,11.2477904511215,58.3781682797759
4011,5,"Kungshamn n skärgård","sand","fastland","03_sand",3,20174011003,"3-Extremt skyddat",4.1,226,281158.2289,6476810.4951,11.2570293164148,58.3773264816468
4011,5,"Hovenäset området","klippa/häll","fastland","08_havsklippa",4,20174011004,"3-Extremt skyddat",1,301,282559.7071,6476894.8125,11.2808616799267,58.3787796618662
4011,5,"Hovenäset området","strandäng/våtmark","fastland","04_strandäng/våtmark",5,20174011005,"2-Ultra skyddat",4.4,68,282852.7559,6476350.7641,11.2863749797324,58.3740488293926
4011,5,"Hovenäset området","klippa/häll","fastland","01_klippstränder",6,20174011006,"5-Skyddat",7.2,16,283395.189,6475436.7437,11.2964887222111,58.3661250374827
4011,5,"Hovenäset området","klippa/häll","fastland","08_havsklippa",7,20174011007,"3-Extremt skyddat",2.4,313,283707.7167,6476512.7654,11.3008091454904,58.3759234794247
4011,5,"Hovenäset området","strandäng/våtmark","fastland","04_strandäng/våtmark",8,20174011008,"3-Extremt skyddat",4.5,145,284465.9319,6477348.552,11.3129632728241,58.3837880381171
4011,5,"Hovenäset området","klippa/häll","fastland","08_havsklippa",9,20174011009,"4-Mycket skyddat",6.3,55,284645.7297,6476773.2262,11.3165699241426,58.378719818644
4011,5,"Hovenäset området","sand","öar","08_havsklippa",10,20174011010,"5-Skyddat",15.1,35,284684.1736,6475273.2522,11.3186280977315,58.3652944715926
4011,5,"Hovenäset området","sand","fastland","03_sand",11,20174011011,"4-Mycket skyddat",10.6,34,284820.4623,6476503.3844,11.3198036515518,58.3763870482316
4011,5,"Hovenäset området","sand","fastland","03_sand",12,20174011012,"3-Extremt skyddat",8.7,86,284952.9562,6476337.4615,11.3222192638004,58.3749648996221
4012,5,"Brofjorden","klippa/häll","fastland","08_havsklippa",13,20174012013,"3-Extremt skyddat",5,271,290799.8897,6475599.239,11.4226580589658,58.3711769723538
4012,5,"Brofjorden","strandäng/våtmark","öar","04_strandäng/våtmark",14,20174012014,"3-Extremt skyddat",5.9,86,291035.6204,6476070.0796,11.4262528453365,58.375510032963
4012,5,"Brofjorden","strandäng/våtmark","fastland","12_västkustbete",15,20174012015,"3-Extremt skyddat",53.7,252,291526.4159,6476810.4744,11.4339573428024,58.3823807168098
4012,5,"Brofjorden","strandäng/våtmark","öar","12_västkustbete",16,20174012016,"3-Extremt skyddat",17.8,45,291873.5462,6475196.539,11.441340688594,58.3680780952632
4012,5,"Brofjorden","strandäng/våtmark","fastland","04_strandäng/våtmark",17,20174012017,"3-Extremt skyddat",2.6,4,292632.5458,6477114.1168,11.4525628228767,58.3856274751478
4019,5,"Hake fjord","strandäng/våtmark","öar","04_strandäng/våtmark",18,20174019018,"4-Mycket skyddat",8.8,11,306345.2321,6426362.5572,11.7287635863489,57.9368146685052
4019,5,"Hake fjord","klippa/häll","öar","08_havsklippa",19,20174019019,"4-Mycket skyddat",1.1,290,306994.4416,6427042.1237,11.7391564735411,57.9431902665013
